Team,Median of Standard SoT/90,Mean of Standard SoT/90,Std of Standard SoT/90,Median of Standard G/Sh,Mean of Standard G/Sh,Std of Standard G/Sh,Median of Standard Dist,Mean of Standard Dist,Std of Standard Dist,Median of Tackles Tkl,Mean of Tackles Tkl,Std of Tackles Tkl,Median of Tackles TklW,Mean of Tackles TklW,Std of Tackles TklW,Median of Blocks,Mean of Blocks,Std of Blocks
All players,0.23625000000000002,0.40672663184419555,0.46679098043799866,0.05700000000000001,0.07968145048188525,0.09498028455997296,16.4625,16.719483577050966,5.01721824968852,18.55,25.223398587946562,22.885651190766897,11.075,15.077864473329992,14.037675874627382,12.525,15.673049581325444,13.772881651802361
Arsenal,0.22,0.4090909090909091,0.40970266908610325,0.14,0.13714285714285715,0.1296974501346444,15.0,14.642857142857142,4.969262664477641,19.5,24.636363636363637,20.726209435778593,12.0,14.681818181818182,12.635499363137344,10.0,13.681818181818182,11.167070484395772
Aston Villa,0.22999999999999998,0.5071428571428571,0.6728978632686646,0.06,0.10120000000000001,0.11446688021723431,16.4,16.616,4.543372462536319,12.0,21.464285714285715,20.52907990371516,6.5,12.357142857142858,12.502486525174476,11.0,11.071428571428571,9.0796009515371
Bournemouth,0.15,0.5382608695652175,0.6496058397486688,0.065,0.06000000000000001,0.056661506472996934,16.450000000000003,15.804999999999998,4.375948017587913,21.0,27.956521739130434,23.433616608449036,10.0,16.130434782608695,14.50800515021742,16.0,18.82608695652174,16.694180188733828
Brentford,0.17,0.31523809523809526,0.3816624038023531,0.05,0.07833333333333332,0.0867213251472446,15.3,15.93333333333333,4.311680442158732,25.0,27.523809523809526,22.234250712850766,17.0,16.523809523809526,12.890380318745631,17.0,21.19047619047619,19.307042879786245
Brighton,0.29500000000000004,0.44821428571428573,0.6493646671166141,0.055,0.0803846153846154,0.08995468944888951,16.5,17.457692307692305,3.8228966061794636,16.5,22.642857142857142,19.76194301009877,10.0,13.821428571428571,12.092402179723866,12.0,14.428571428571429,12.257812539518143
Chelsea,0.275,0.45461538461538453,0.48535538129688655,0.07,0.09347826086956522,0.11849851152314775,15.0,15.073913043478262,4.556236224950305,11.0,20.73076923076923,23.8839824021166,8.5,13.0,14.767531953579786,9.0,12.653846153846153,13.841798460293539
Crystal Palace,0.27,0.4480952380952382,0.47337742920020015,0.0,0.049,0.07047956030689062,16.7,17.77,6.005707811389884,21.0,32.666666666666664,30.232984194970456,12.0,19.19047619047619,19.06467688585109,16.0,20.333333333333332,18.4074260376983
Everton,0.23500000000000001,0.36272727272727273,0.38039054890594964,0.05,0.08095238095238096,0.10573101540724757,17.3,17.271428571428572,5.332555002730197,26.0,30.863636363636363,28.235903275196172,14.5,18.045454545454547,17.06144992645917,13.0,16.363636363636363,14.334591709585574
Fulham,0.26,0.5236363636363636,0.5700755626986191,0.05,0.07285714285714286,0.09127665951067979,15.4,16.34285714285715,4.266212773476194,23.5,28.272727272727273,23.005551748554332,12.0,17.227272727272727,14.421979978266037,14.0,15.454545454545455,11.206831559056896
Ipswich Town,0.085,0.3686666666666667,0.6694451296478267,0.065,0.07041666666666667,0.08115895121500055,16.2,16.508333333333333,5.224600393844712,12.5,18.033333333333335,16.869649002610114,7.5,10.233333333333333,9.65859750414761,8.0,13.4,13.984227568573646
Leicester City,0.21500000000000002,0.27499999999999997,0.2729725260900811,0.0,0.05636363636363637,0.07234477336868389,16.9,17.80909090909091,5.814424517313167,21.5,25.846153846153847,22.301017569056903,12.0,15.076923076923077,13.531956479158737,16.5,17.73076923076923,14.001593315927133
Liverpool,0.35,0.4842857142857144,0.4350812731958413,0.07500000000000001,0.07555555555555554,0.07039570693980958,14.6,15.488888888888889,4.028850206563668,26.0,28.476190476190474,23.932444604801756,16.0,17.61904761904762,14.66791120260888,9.0,15.952380952380953,14.796878692738515
Manchester City,0.33,0.46360000000000007,0.5136704520734411,0.10500000000000001,0.13272727272727272,0.21026472697829138,17.85,17.027272727272727,4.839537740438185,15.0,18.44,17.05891751157343,7.0,11.2,10.88959748261309,11.0,12.44,9.600694419328914
Manchester Utd,0.185,0.37199999999999994,0.46582074397480566,0.02,0.04583333333333333,0.054526951187436674,16.05,15.924999999999999,5.41995106668108,13.0,25.2,27.760552513631083,8.5,15.233333333333333,16.951621493661538,7.0,11.4,11.300289895579581
Newcastle Utd,0.3,0.3830434782608696,0.4077703763662795,0.05,0.08476190476190476,0.10740665936612348,15.0,15.63809523809524,3.639982993157549,22.0,24.434782608695652,22.0223565887786,15.0,14.956521739130435,13.69299177372918,17.0,17.130434782608695,14.194443047852747
Nott'ham Forest,0.265,0.42363636363636364,0.4014680851283491,0.07,0.07850000000000001,0.08099870044441584,18.8,19.125,6.351698902448732,20.5,28.727272727272727,25.941659487582843,13.0,17.318181818181817,16.01899575841835,11.0,18.272727272727273,18.03219823427452
Southampton,0.14,0.2158620689655172,0.28653742265414617,0.05,0.0704,0.09650043177796322,18.1,17.312,6.087303727157589,13.0,20.413793103448278,19.729450867347865,7.0,11.827586206896552,11.313926202179966,8.0,13.379310344827585,14.915030274150226
Tottenham,0.29,0.40185185185185185,0.39576641359652304,0.055,0.07458333333333333,0.08091751928684067,16.9,16.40833333333333,5.073196116904974,14.0,22.85185185185185,20.77665795236365,9.0,14.481481481481481,14.00101746404489,15.0,15.148148148148149,12.249658405609972
West Ham,0.23,0.39,0.4131484801698618,0.04,0.05304347826086957,0.06384888285551465,16.7,18.186956521739127,6.010090329666517,17.0,23.2,21.08119224964913,11.0,13.72,12.501733213172217,14.0,16.56,13.478625053518378
Wolves,0.23,0.34956521739130436,0.40170634073875816,0.07,0.0980952380952381,0.11775478961040388,18.1,18.047619047619047,5.670856994107597,21.0,32.08695652173913,28.195604176212647,13.0,18.91304347826087,17.58075663765838,16.0,18.043478260869566,12.607639317888202
